"","n","min","model","pval","simslope","slope"
"log10(adult_weight)",41,1,"PGLSSEY",1.9e-05,0.021,0.00298655986939356
"1",41,1,"Compar",0.829906874798013,0.021,-0.0126009121826515
"log10(adult_weight)1",44,1,"PGLSSEY",3.6e-05,0.021,0.000751994098761712
"11",44,1,"Compar",0.0494894562132722,0.021,-0.144437850853549
"log10(adult_weight)2",44,1,"PGLSSEY",0.00023,0.021,0.00159684693604064
"12",44,1,"Compar",0.934259828810018,0.021,0.00645177209290004
"log10(adult_weight)3",40,1,"PGLSSEY",8e-08,0.021,0.00323926456257942
"13",40,1,"Compar",0.242902864346025,0.021,0.0387915590931767
"log10(adult_weight)4",44,1,"PGLSSEY",0.0029,0.021,0.000449003329004759
"14",44,1,"Compar",0.403700528660134,0.021,0.0636330502694249
"log10(adult_weight)5",42,1,"PGLSSEY",0.0021,0.021,0.00140282020527821
"15",42,1,"Compar",0.424470654485569,0.021,-0.0673300079386063
"log10(adult_weight)6",44,1,"PGLSSEY",4.6e-07,0.021,0.00169230485903024
"16",44,1,"Compar",0.669059290133323,0.021,0.0133339186609556
"log10(adult_weight)7",40,1,"PGLSSEY",4.6e-05,0.021,0.00232933855511484
"17",40,1,"Compar",0.707076691699464,0.021,-0.0253246230971343
"log10(adult_weight)8",48,1,"PGLSSEY",7.5e-06,0.021,0.0030567628853282
"18",48,1,"Compar",0.530668331289144,0.021,-0.0219864438643316
"log10(adult_weight)9",40,1,"PGLSSEY",0.00013,0.021,0.000628270219603866
"19",40,1,"Compar",0.296535161982248,0.021,0.0428849046358981
"log10(adult_weight)10",41,1,"PGLSSEY",7.4e-06,0.021,0.00209452970874178
"110",41,1,"Compar",0.979014766325651,0.021,0.00115895564629076
"log10(adult_weight)11",44,1,"PGLSSEY",1e-04,0.021,0.00153147728295419
"111",44,1,"Compar",0.989943982702161,0.021,-0.000505914384954287
"log10(adult_weight)12",40,1,"PGLSSEY",3.1e-05,0.021,0.00182809392650961
