Phylum,Class,Clade,Orders,Family,Genus,Species,common_name,adult_weight,max_longevity,wgtxlong,proportion_lifespan,Masspresent
Chordata,Amphibia,Amphibia,Anura,Pipidae,Pipa,Pipa pipa,Surinam toad,-1,92.4,-92.4,0.324675325,0
Chordata,Aves,Sauropsida,Psittaciformes,Psittacidae,Neophema,Neophema splendida,NA,38.6,168,6484.8,0.214285714,0
Chordata,Reptilia,Sauropsida,Squamata,Viperidae,Bitis,Bitis nasicornis,NA,717,112.8,80877.6,1.063829787,0
Chordata,Aves,Sauropsida,Psittaciformes,Psittaculidae,Eos,Eos bornea,Red lory,156,296.4,46238.4,0.08097166,0
Chordata,Mammalia,Mammalia,Carnivora,Herpestidae,Suricata,Suricata suricatta,Slender Tail Meerkat,776,247.2,191827.2,0.339805825,1
Chordata,Mammalia,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,Kudu,217500,282,61335000,0.382978723,0
Chordata,Reptilia,Sauropsida,Squamata,Pythonidae,Morelia,Morelia viridis,Green Tree Python,3113,247.2,769533.6,0.72815534,0
Chordata,Mammalia,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,Domestic Rabbit,1800,216,388800,0.388888889,1
Chordata,Aves,Sauropsida,Anseriformes,Anatidae,Netta,Netta rufina,NA,1118,105.6,118060.8,1.704545455,0
Chordata,Mammalia,Mammalia,Chiroptera,Phyllostomidae,Macrotus,Macrotus californicus,NA,11.6,204,2366.4,0.588235294,0
Chordata,Mammalia,Mammalia,Primates,Cebidae,Saimiri,Saimiri sciureus,Common Squirrel Monkey,925,362.4,335220,0.11589404,0
Chordata,Mammalia,Mammalia,Primates,Cercopithecidae,Colobus,Colobus guereza,Colobus Monkey,9950,420,4179000,0.428571429,1
Chordata,Mammalia,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius,Ferret,809,133.2,107758.8,0.540540541,1
Chordata,Mammalia,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,Cheetah,53500,246,13161000,0.536585366,0
Chordata,Mammalia,Mammalia,Pilosa,Megalonychidae,Choloepus,Choloepus didactylus,Linnes two-toed sloth,6250,441.6,2760000,0.298913043,0
Chordata,Reptilia,Sauropsida,Squamata,Pythonidae,Python,Python bivittatus,NA,17100,410.4,7017840,0.497076023,0
Chordata,Reptilia,Sauropsida,Squamata,Boidae,Corallus,Corallus caninus,Emerald Tree boa,-1,223.2,-223.2,0.913978495,0
Chordata,Mammalia,Mammalia,Carnivora,Phocidae,Pusa,Pusa hispida,NA,90000,552,49680000,0.217391304,0
Chordata,Reptilia,Sauropsida,Squamata,Phrynosomatidae,Sceloporus,Sceloporus cyanogenys,Blue spiny lizard,35.59,80.4,2861.436,0.597014925,0
Chordata,Aves,Sauropsida,Ciconiiformes,Ciconiidae,Ciconia,Ciconia abdimii,Abdims stork,1398,259.2,362361.6,0.046296296,0
Chordata,Mammalia,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,Sheep,80000,273.6,21888000,0.701754386,0
Chordata,Mammalia,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,Masai Lion,175000,324,56700000,0.676635802,1
Chordata,Mammalia,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus,NA,53750,327.6,17608500,0.659340659,1
Chordata,Reptilia,Sauropsida,Squamata,Viperidae,Crotalus,Crotalus lepidus,NA,219,403.2,88300.8,0.297619048,0
Chordata,Mammalia,Mammalia,Carnivora,Otariidae,Zalophus,Zalophus californianus,California Sealion,180000,428.4,77112000,0.756302521,1
Chordata,Mammalia,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,Masai Lion,175000,324,56700000,0.851851852,1
Chordata,Reptilia,Sauropsida,Squamata,Agamidae,Gonocephalus,Gonocephalus chamaeleontinus,Chameleon Forest Dragon,-1,521.76,-521.76,0.256688899,1
Chordata,Mammalia,Mammalia,Chiroptera,Pteropodidae,Eidolon,Eidolon helvum,NA,306.25,261.6,80115,0.733944954,0
Chordata,Reptilia,Sauropsida,Squamata,Homalopsidae,Erpeton,Erpeton tentaculatum,Tentacled snake,131,163.2,21379.2,0.588235294,0
Chordata,Aves,Sauropsida,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus ruber,American flamingo,3065.8,528,1618742.4,0.545454545,0
Chordata,Mammalia,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius,Ferret,809,133.2,107758.8,0.18018018,1
Chordata,Reptilia,Sauropsida,Squamata,Gekkonidae,Eublepharis,Eublepharis macularius,Leopard Gecko,35.53,342,12151.26,0.49122807,0
Chordata,Aves,Sauropsida,Psittaciformes,Psittaculidae,Trichoglossus,Trichoglossus moluccanus,Rainbow lorikeet,119.55,193.2,23097.06,0.062111801,0
Chordata,Mammalia,Mammalia,NA,Camelidae,Vicugna,Vicugna pacos,NA,62000,309.6,19195200,0.550484496,0
Chordata,Mammalia,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,Chimpanzee,44983.5,712.8,32064238.8,0.69023569,0
Chordata,Aves,Sauropsida,Galliformes,Phasianidae,Gallus,Gallus gallus,Domestic chicken,779.8,360,280728,0.067583333,1
Chordata,Mammalia,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,NA,52500,307.2,16128000,0.46875,1
Chordata,Aves,Sauropsida,Psittaciformes,Psittacidae,Rhynchopsitta,Rhynchopsitta pachyrhyncha,NA,360,396,142560,0.757575758,0
Chordata,Mammalia,Mammalia,Perissodactyla,Equidae,Equus,Equus grevyi,Grevys Zebra,384000,372,142848000,0.290322581,0
Chordata,Mammalia,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,Sheep,80000,273.6,21888000,0.657894737,0
Chordata,Mammalia,Mammalia,Didelphimorphia,Didelphidae,Philander,Didelphis marsupialis,Oppossum,1530,50.4,77112,0.714285714,1
