taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,SE_simple
548,Animalia,Chordata,Reptilia,Squamata,Boidae,Aspidites,Aspidites ramsayi,NA,5,2,0.4,-,2,2,0.4,1,0,0,0,-,5,2,5,2,0.447213595
1115,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Ceyx,Ceyx pictus,NA,4,0,0,-,0,0,0,NA,0,0,NA,-,4,0,4,1,0.5
7,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Philander,Didelphis marsupialis,Oppossum,69,19,0.275362319,-,19,13,0.188405797,0.684210526,6,0.086956522,0.315789474,-,69,19,69,24,0.120385853
3334,Animalia,Chordata,Aves,Passeriformes,Pittidae,Pitta,Pitta sordida,Hooded Pitta,89,0,0,-,0,0,0,NA,0,0,NA,-,89,0,89,11,0.105999788
1086,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,Ceratotherium simum,NA,14,1,0.071428571,-,1,1,0.071428571,1,0,0,0,-,14,1,14,8,0.267261242
19532,Animalia,Chordata,Actinopteri,Cichliformes,Cichlidae,Pseudotropheus,NA,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
3437,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus,Pomacanthus zonipectus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
3305,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Phyllurus,Phyllurus platurus,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,1,0.577350269
19474,Animalia,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia holbrooki,Holbrooks Gambusia,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
2129,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Halcyon,Halcyon senegalensis,NA,4,0,0,-,0,0,0,NA,0,0,NA,-,4,0,4,3,0.5
19383,Animalia,Teleostei,Ostariophysi,Characiformes,Characidae,Brachychalcinus,Brachychalcinus orbicularis,Characin,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
2968,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Neotragus,Neotragus pygmaeus,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,1,0.707106781
19761,Animalia,Unionoidea,Unionidae,Ambleminae,Amblemini,Amblema,Amblema plicata,Three Ridge Mussel,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
4539,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Zebrasoma,Zebrasoma flavescens,Yellow Sailfin Tang,11,0,0,-,0,0,0,NA,0,0,NA,-,11,0,11,5,0.301511345
4270,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Trichoglossus,Trichoglossus euteles,NA,7,0,0,-,0,0,0,NA,0,0,NA,-,7,0,7,4,0.377964473
1880,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Euschistospiza,Euschistospiza cinereovinacea,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
1204,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis carbonarius,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,2,0.707106781
19757,Animalia,Reptilia,Squamata,Autarchoglossa,Varanidae,Varanus,Varanus ornatus,Ornate Monitor,1,1,1,-,1,0,0,0,1,1,1,-,1,1,1,1,1
2760,Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Mauremys,Mauremys annamensis,Anam Leaf Turtle,19,0,0,-,0,0,0,NA,0,0,NA,-,19,0,19,3,0.229415734
980,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
2719,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,2,0.707106781
420,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,Aphanius iberus,NA,3,1,0.333333333,-,1,0,0,0,1,0.333333333,1,-,3,1,3,1,0.577350269
3203,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus erythrorhynchos,NA,19,0,0,-,0,0,0,NA,0,0,NA,-,19,0,19,6,0.229415734
971,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
1883,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Exodon,Exodon paradoxus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
2524,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,NA,2,0,0,-,1,0,0,0,0,0,1,-,3,1,2,2,0.707106781
278,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,Anarhichas lupus,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,1,0.707106781
2018,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Gomphosus,Gomphosus varius,NA,1,1,1,-,1,1,1,1,0,0,0,-,1,1,1,1,1
4374,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera uncia,Snow Leopard,33,12,0.363636364,-,12,10,0.303030303,0.833333333,2,0.060606061,0.166666667,-,33,12,33,17,0.174077656
7914,Animalia,Chordata,Reptilia,Squamata,Viperidae,Gloydius,Gloydius saxatilis,Rock Mamushi,4,1,0.25,-,1,0,0,0,1,0.25,1,-,4,1,4,1,0.5
557,Animalia,Echinodermata,Asteroidea,Spinulosida,Asterinidae,Asterina,Asterina miniata,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
947,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Capito,Capito niger,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,3,0.577350269
