"taxa_id","Kingdom","Phylum","Class","Clade","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","X...","female_maturity.months.","male_maturity.months.","Gestation.months.","Weaning.months.","Infancy.months.","litter_size","litters_year","interbirth_interval","birth_weight.g.","weaning_weight.g.","adult_weight.g.","growth_rate.1.days.","max_longevity.months.","metabolic_rate","SE_simple","InferredNeoplasia","Keep"
1829,"Animalia","Chordata","Aves","Sauropsida","Tinamiformes","Tinamidae","Eudromia","Eudromia_elegans","Elegant crested tinamou",22,0,0,"-",10,0,0,0,0,0,1,"-",32,10,22,8,"-",-1,-1,-1,-1,1,-1,-1,-1,-1,-1,678,-1,-1,-1,0.213200716,2.831229694,TRUE
1083,"Animalia","Chordata","Amphibia","Amphibia","Anura","Ceratophryidae","Ceratophrys","Ceratophrys_ornata","Bell'shorned frog",27,0,0,"-",5,0,0,0,0,0,1,"-",32,5,27,17,"-",-1,-1,-1,-1,5.814905726,-1,-1,-1,-1,-1,-1,-1,176.4,-1,0.19245009,-1,TRUE
1532,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Crotalus","Crotalus_polystictus","Crotalus polystictus",33,0,0,"-",5,0,0,1,0,0,0,"-",38,5,33,7,"-",-1,-1,-1,-1,2.254759363,-1,-1,-1,-1,-1,-1,-1,68.4,-1,0.174077656,-1,TRUE
2027,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Agamidae","Gonocephalus","Gonocephalus_chamaeleontinus","Chameleon forest dragon",40,0,0,"-",9,0,0,0.333333333,0,0,0.666666667,"-",49,9,40,10,"-",-1,-1,-1,-1,17.19946265,-1,4.6,-1,-1,0.58,-1,-1,521.76,-1,0.158113883,-1,TRUE
2726,"Animalia","Chordata","Amphibia","Amphibia","Anura","Mantellidae","Mantella","Mantella_aurantiaca","Golden mantella",304,2,0.006578947,"-",2,0,0,0,2,0.006578947,1,"-",304,2,304,9,"-",-1,-1,0.460223537,-1,4.311732817,40,-1,-1,-1,-1,-1,-1,130.8,-1,0.057353933,-1,TRUE
572,"Animalia","Chordata","Amphibia","Amphibia","Anura","Bufonidae","Atelopus","Atelopus_zeteki","Panamanian golden frog",137,1,0.00729927,"-",6,1,0.00729927,0.166666667,0,0,0.833333333,"-",142,6,137,22,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.085435766,-1,TRUE
1649,"Animalia","Chordata","Amphibia","Amphibia","Anura","Dendrobatidae","Dendrobates","Dendrobates_tinctorius","Dyeing poison dart frog",267,2,0.007490637,"-",2,1,0.003745318,0.5,1,0.003745318,0.5,"-",267,2,267,33,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.061199006,-1,TRUE
3923,"Animalia","Chordata","Aves","Sauropsida","Sphenisciformes","Spheniscidae","Spheniscus","Spheniscus_humboldti","Humboldt penguin",376,4,0.010638298,"-",4,2,0.005319149,0.5,2,0.005319149,0.5,"-",376,4,376,10,"-",36.02071006,36.02071006,-1,-1,109.575,-1,-1,-1,-1,-1,4379,-1,360,-1,0.051571062,18.97918995,TRUE
2941,"Animalia","Chordata","Amphibia","Amphibia","Anura","Bufonidae","Nectophrynoides","Nectophrynoides_asperginis","Kihansi spray toad",173,2,0.011560694,"-",2,2,0.011560694,1,0,0,0,"-",173,2,173,4,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.076028592,-1,TRUE
3639,"Animalia","Chordata","Amphibia","Amphibia","Anura","Ranidae","Rana","Rana_sierrae","Sierra nevada yellow-legged frog",76,1,0.013157895,"-",1,0,0,0,1,0.013157895,1,"-",76,1,76,5,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.114707867,-1,TRUE
