taxa_id,Kingdom,Phylum,Class,Clade,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,---,female_maturity(months),male_maturity(months),Gestation(months),Weaning(months),Infancy(months),litter_size,litters_year,interbirth_interval,birth_weight(g),weaning_weight(g),adult_weight(g),growth_rate(1/days),max_longevity(months),metabolic_rate,SE_simple
2807,Animalia,Chordata,Aves,Sauropsida,Psittaciformes,Psittaculidae,Melopsittacus,Melopsittacus undulatus,Budgerigar,477,99,0.20754717,-,95,83,0.174004193,0.884210526,11,0.023060797,0.115789474,-,478,100,477,13,-,5.917159763,5.917159763,0.591715976,-1,18,-1,-1,-1,1.44,-1,30,0.231,252,-1,0.045786855
3923,Animalia,Chordata,Aves,Sauropsida,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,Humboldt penguin,376,4,0.010638298,-,4,2,0.005319149,0.5,2,0.005319149,0.5,-,376,4,376,10,-,36.02071006,36.02071006,-1,-1,109.575,-1,-1,-1,-1,-1,4379,-1,360,-1,0.051571062
3645,Animalia,Chordata,Mammalia,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,Brown rat,354,122,0.344632768,-,136,33,0.093220339,0.323529412,80,0.225988701,0.676470588,-,377,145,354,27,-,2.958579882,2.301117686,0.690335306,0.821827745,0.821827745,9.9,3.7,-1,5.81,63.8,300,-1,45.6,-1,0.0531494
2726,Animalia,Chordata,Amphibia,Amphibia,Anura,Mantellidae,Mantella,Mantella aurantiaca,Golden mantella,304,2,0.006578947,-,2,0,0,0,2,0.006578947,1,-,304,2,304,9,-,-1,-1,0.460223537,-1,4.311732817,40,-1,-1,-1,-1,-1,-1,130.8,-1,0.057353933
1946,Animalia,Chordata,Aves,Sauropsida,Galliformes,Phasianidae,Gallus,Gallus gallus,Domestic chicken,272,70,0.257352941,-,99,62,0.227941176,0.828282828,7,0.025735294,0.171717172,-,302,100,272,37,-,-1,-1,-1,-1,11.86715454,-1,-1,-1,25,-1,779.8,0.037,360,-1,0.060633906
1649,Animalia,Chordata,Amphibia,Amphibia,Anura,Dendrobatidae,Dendrobates,Dendrobates tinctorius,Dyeing poison dart frog,267,2,0.007490637,-,2,1,0.003745318,0.5,1,0.003745318,0.5,-,267,2,267,33,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.061199006
825,Animalia,Chordata,Amphibia,Amphibia,Anura,Bufonidae,Peltophryne,Peltophryne lemur,Puerto rican crested toad,226,19,0.084070796,-,17,8,0.03539823,0.470588235,9,0.039823009,0.529411765,-,226,19,226,16,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.066519011
1005,Animalia,Chordata,Mammalia,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Seba short-tailed bat,219,14,0.063926941,-,14,9,0.04109589,0.642857143,5,0.02283105,0.357142857,-,219,14,219,10,-,8.481262327,8.481262327,3.122945431,1.171268902,1.171268902,-1,-1,5.23,4.89,12.5,15,0.0347,204,31.43,0.067573738
19342,Animalia,Tetrapoda,Amphibia,Amphibia,Anura,Alytidae,Alytes,Alytes muletensis,Mallorcan midwife toad,216,0,0,-,0,0,0,NA,0,0,NA,-,216,0,216,1,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.068041382
3922,Animalia,Chordata,Aves,Sauropsida,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus,Black-footed penguin,210,0,0,-,0,0,0,NA,0,0,NA,-,210,0,210,8,-,23.89664694,-1,-1,-1,726.936,-1,1.5,-1,60,-1,3135,-1,327.6,-1,0.069006556
