Species,WildTrophicLevel
Choloepus didactylus,Herbivore
Papio hamadryas,Herbivore
Cacatua moluccensis,Herbivore
Gallicolumba luzonica,Herbivore
Tympanuchus cupido,Herbivore
Netta rufina,Herbivore
Equus grevyi,Herbivore
Taurotragus derbianus,Herbivore
Aratinga solstitialis,Herbivore
Sciurus carolinensis,Herbivore
Rhea americana,Herbivore
Pecari tajacu,Herbivore
Elephas maximus,Herbivore
Gazella spekei,Herbivore
Columba hodgsonii,Herbivore
Musophaga violacea,Herbivore
Eudromia elegans,Herbivore
Rousettus lanosus,Herbivore
Branta ruficollis,Herbivore
Phyllostomus discolor,Herbivore
Rhynchopsitta pachyrhyncha,Herbivore
Anas acuta,Herbivore
Nettapus auritus,Herbivore
Micromys minutus,Herbivore
Dendrolagus goodfellowi,Herbivore
Aepyceros melampus,Herbivore
Macaca nigra,Herbivore
Callipepla gambelii,Herbivore
Geopelia cuneata,Herbivore
Octodon degus,Herbivore
Pan troglodytes,Herbivore
Thraupis episcopus,Herbivore
Oryx leucoryx,Herbivore
Pithecia pithecia,Herbivore
Gopherus agassizii,Herbivore
Anas hottentota,Herbivore
Goura victoria,Herbivore
Agapornis fischeri,Herbivore
Eudorcas thomsonii,Herbivore
Cygnus melancoryphus,Herbivore
Taeniopygia guttata,Herbivore
Addax nasomaculatus,Herbivore
Giraffa camelopardalis,Herbivore
Ovis canadensis,Herbivore
Colinus virginianus,Herbivore
Petaurus breviceps,Herbivore
Eidolon helvum,Herbivore
Pavo cristatus,Herbivore
Anodorhynchus hyacinthinus,Herbivore
Mandrillus sphinx,Herbivore
Dasyprocta punctata,Herbivore
Iguana iguana,Herbivore
Stizoptera bichenovii,Herbivore
Aix galericulata,Herbivore
Neophema splendida,Herbivore
Aix sponsa,Herbivore
Phacochoerus africanus,Herbivore
Lama glama,Herbivore
Colobus guereza,Herbivore
Rangifer tarandus,Herbivore
Saimiri boliviensis,Herbivore
Capra nubiana,Herbivore
Saguinus imperator,Herbivore
Zenaida graysoni,Herbivore
Padda oryzivora,Herbivore
Sylvilagus transitionalis,Herbivore
Ploceus castaneiceps,Herbivore
Colius striatus,Herbivore
Irena cyanogastra,Herbivore
Antilocapra americana,Herbivore
Ailurus fulgens,Herbivore
Stellagama stellio,Herbivore
Acryllium vulturinum,Herbivore
Gorilla gorilla,Herbivore
Cercopithecus mitis,Herbivore
Chinchilla chinchilla,Herbivore
Notamacropus eugenii,Herbivore
Sauromalus ater,Herbivore
Mus musculus,Herbivore
Dacnis lineata,Herbivore
Fringilla coelebs,Herbivore
Ducula forsteni,Herbivore
